OBJECTID,UniqID,Calls,Pop,Jobs,LowEduc,Dst2UrbCen
1,0,6,2307,177,127,15679.90000000000
2,1,30,2918,67,137,15926.60000000000
3,2,8,2803,166,46,15580.30000000000
4,3,31,4966,1011,114,14423.50000000000
5,4,36,916,4524,57,8315.19000000000
6,5,39,1156,2045,41,6083.68000000000
7,6,17,1386,112,111,3865.97000000000
8,7,11,1212,21,88,8569.94000000000
9,8,25,1499,99,270,2645.96000000000
10,9,36,1655,56,38,2685.40000000000
11,10,32,1727,63,115,6136.92000000000
12,11,39,2210,220,143,11965.00000000000
13,12,16,1568,5,88,12807.30000000000
14,13,3,760,0,42,5816.21000000000
15,14,36,1079,266,77,4730.43000000000
16,15,16,1100,128,76,11270.30000000000
17,16,9,1226,23,38,8639.86000000000
18,17,26,1233,181,76,3201.07000000000
19,18,5,1401,63,56,10698.60000000000
20,19,3,1357,14,11,7146.22000000000
21,20,17,2157,1043,37,14352.70000000000
22,21,13,2700,24,130,9187.28000000000
23,22,29,2917,33,62,6313.21000000000
24,23,43,3141,225,36,8744.24000000000
25,24,44,4242,156,113,10434.40000000000
26,25,10,4122,33,130,10629.30000000000
27,26,0,718,42,6,18044.20000000000
28,27,13,1097,15,75,14792.20000000000
29,28,8,2313,341,116,13760.60000000000
30,29,6,3816,178,172,16639.70000000000
31,30,17,777,4,170,13052.30000000000
32,31,1,911,182,53,16280.30000000000
33,32,1,954,9,98,18394.40000000000
34,33,5,1099,11,111,16329.50000000000
35,34,18,1070,203,144,16435.40000000000
36,35,5,1112,21,34,13656.40000000000
37,36,27,1220,617,41,13312.10000000000
38,37,0,1495,31,106,18036.50000000000
39,38,15,1511,393,121,16282.90000000000
40,39,14,1489,332,199,14049.60000000000
41,40,10,1851,592,174,16654.30000000000
42,41,32,1840,241,147,12695.20000000000
43,42,2,1830,112,124,17385.30000000000
44,43,11,970,110,69,12256.40000000000
45,44,28,1161,276,145,10124.00000000000
46,45,15,1099,170,243,12904.40000000000
47,46,27,249,908,49,228.25400000000
48,47,34,614,741,54,0.00000000000
49,48,12,549,199,38,6050.15000000000
50,49,1,772,247,47,6462.41000000000
51,50,1,1023,90,53,7022.35000000000
52,51,12,881,7,118,9791.22000000000
53,52,10,1213,60,77,7705.24000000000
54,53,5,1290,22,187,6711.68000000000
55,54,9,1273,2134,83,9226.15000000000
56,55,27,1613,60,94,5749.45000000000
57,56,38,1844,146,268,889.56900000000
58,57,37,2137,406,335,5615.83000000000
59,58,42,2466,129,316,6452.03000000000
60,59,91,2629,16976,130,2438.85000000000
61,60,87,3140,901,433,3594.35000000000
62,61,176,6470,1473,898,693.95600000000
63,62,17,1201,223,7,6389.19000000000
64,63,27,1832,1113,68,5927.15000000000
65,64,97,3434,7972,116,1347.48000000000
66,65,104,3469,5246,454,1209.28000000000
67,66,6,610,188,0,9190.03000000000
68,67,11,720,1164,108,11003.30000000000
69,68,3,1134,332,25,12040.50000000000
70,69,15,1241,519,24,8464.59000000000
71,70,2,1403,101,13,11411.20000000000
72,71,30,2674,689,128,7222.81000000000
73,72,30,4300,1029,199,8778.83000000000
74,73,1,815,478,163,17630.90000000000
75,74,9,1423,235,139,16466.50000000000
76,75,38,992,260,32,6838.34000000000
77,76,56,1383,629,229,2782.75000000000
78,77,28,1874,1650,23,13325.10000000000
79,78,120,4550,9291,520,10072.90000000000
80,79,18,667,102,43,13421.80000000000
81,80,6,999,12,13,10242.50000000000
82,81,6,1023,362,68,14095.60000000000
83,82,11,1416,175,84,9922.24000000000
84,83,42,1516,135,177,14294.90000000000
85,84,28,1390,675,138,8727.65000000000
86,85,1,1651,72,35,15201.40000000000
87,86,29,3629,1165,292,16720.80000000000
